uniProtID,accession,label,existence,species,history,old_ID
GLMM_THET2,Q72JS7,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-12-20', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 96, 'sequenceVersion': 1}",GLMM_THET2
GLMU_THET8,Q5SLA8,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-05-02', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2006-05-02', 'entryVersion': 112, 'sequenceVersion': 2}",GLMU_THET8
GPDA_THET8,Q5SHJ0,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-10-31', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 112, 'sequenceVersion': 1}",GPDA_THET8
GSA_THET2,Q72K83,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 101, 'sequenceVersion': 1}",GSA_THET2
HISX_THET8,Q5SKC1,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-01-10', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 102, 'sequenceVersion': 1}",HISX_THET8
HSLO_THET8,Q5SJV8,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-05-30', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 85, 'sequenceVersion': 1}",HSLO_THET8
IF3_THETH,Q70YI5,1,Inferred from homology,Thermus thermophilus,"{'firstPublicDate': '2007-03-06', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 64, 'sequenceVersion': 1}",IF3_THETH
ILVC_THET8,Q5SJ03,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 101, 'sequenceVersion': 1}",ILVC_THET8
ILVD_THET8,Q5SIY0,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 94, 'sequenceVersion': 1}",ILVD_THET8
LDH_THET8,Q5SJA1,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-05-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 117, 'sequenceVersion': 1}",LDH_THET8
LEPA_THET8,Q5SKA7,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 105, 'sequenceVersion': 1}",LEPA_THET8
LIPB_THET8,Q5SLQ3,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 102, 'sequenceVersion': 1}",LIPB_THET8
METK_THET8,Q5SHT8,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 107, 'sequenceVersion': 1}",METK_THET8
MGSA_THET2,Q72HP3,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-03-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-15', 'entryVersion': 84, 'sequenceVersion': 2}",MGSA_THET2
MIAA_THET2,Q72L59,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-03-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 98, 'sequenceVersion': 1}",MIAA_THET2
MRAZ_THET8,Q5SJD9,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-07-05', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 91, 'sequenceVersion': 1}",MRAZ_THET8
MSRA_THET8,Q53W34,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-09-27', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-05-24', 'entryVersion': 92, 'sequenceVersion': 1}",MSRA_THET8
MTT8_THET8,P29749,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1993-04-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 125, 'sequenceVersion': 2}",MTT8_THET8
MURA_THET2,Q72GJ4,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-04-04', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2006-04-04', 'entryVersion': 106, 'sequenceVersion': 2}",MURA_THET2
MURB_THET8,Q5SJC8,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 106, 'sequenceVersion': 1}",MURB_THET8
MURD_THET8,Q5SJD2,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-04-26', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 104, 'sequenceVersion': 1}",MURD_THET8
MUTL_THET8,Q9RA54,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2002-05-02', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 118, 'sequenceVersion': 2}",MUTL_THET8
MUTS_THET2,P61671,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2004-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-06-07', 'entryVersion': 103, 'sequenceVersion': 1}",MUTS_THET2
NDK_THET8,Q5SLV5,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 106, 'sequenceVersion': 1}",NDK_THET8
NOX_THET8,Q60049,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1998-07-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 118, 'sequenceVersion': 2}",NOX_THET8
NPD_THET8,Q5SIH7,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-09-27', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 101, 'sequenceVersion': 1}",NPD_THET8
NQO10_THET8,Q56225,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 115, 'sequenceVersion': 1}",NQO10_THET8
NQO11_THET8,Q56226,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 128, 'sequenceVersion': 1}",NQO11_THET8
NQO12_THET8,Q56227,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 123, 'sequenceVersion': 1}",NQO12_THET8
NQO13_THET8,Q56228,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 133, 'sequenceVersion': 2}",NQO13_THET8
NQO14_THET8,Q56229,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 133, 'sequenceVersion': 2}",NQO14_THET8
NQO15_THET8,Q5SKZ7,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-04-18', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 101, 'sequenceVersion': 3}",NQO15_THET8
NQO1_THET8,Q56222,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 141, 'sequenceVersion': 1}",NQO1_THET8
NQO2_THET8,Q56221,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 154, 'sequenceVersion': 3}",NQO2_THET8
NQO3_THET8,Q56223,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 158, 'sequenceVersion': 2}",NQO3_THET8
NQO4_THET8,Q56220,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 142, 'sequenceVersion': 1}",NQO4_THET8
NQO5_THET8,Q56219,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 134, 'sequenceVersion': 1}",NQO5_THET8
NQO6_THET8,Q56218,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 138, 'sequenceVersion': 3}",NQO6_THET8
NQO7_THET8,Q56217,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 121, 'sequenceVersion': 1}",NQO7_THET8
NQO9_THET8,Q56224,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 152, 'sequenceVersion': 1}",NQO9_THET8
NRDR_THET2,Q72GI8,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-02-15', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 92, 'sequenceVersion': 1}",NRDR_THET2
NUSA_THET8,P48514,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1996-02-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1996-02-01', 'entryVersion': 141, 'sequenceVersion': 1}",NUSA_THET8
NUSG_THET8,P35872,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1994-06-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1994-06-01', 'entryVersion': 124, 'sequenceVersion': 1}",NUSG_THET8
OTC_THET2,P96134,1,Evidence at protein level,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '1998-07-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1997-05-01', 'entryVersion': 133, 'sequenceVersion': 1}",OTC_THET2
P5CR_THET2,P54893,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '1996-10-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1996-10-01', 'entryVersion': 121, 'sequenceVersion': 1}",P5CR_THET2
PANB_THET2,Q72LM0,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-03-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-15', 'entryVersion': 91, 'sequenceVersion': 2}",PANB_THET2
PANC_THET8,Q5SHF5,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-10-25', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 98, 'sequenceVersion': 1}",PANC_THET8
PAND_THET8,Q5SKN7,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 104, 'sequenceVersion': 1}",PAND_THET8
PDXS_THET8,Q5SKD9,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-07-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-07-05', 'entryVersion': 114, 'sequenceVersion': 2}",PDXS_THET8
PDXT_THET8,Q5SKD6,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-07-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 92, 'sequenceVersion': 1}",PDXT_THET8
PHR_THET8,P61497,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2004-05-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-05-24', 'entryVersion': 112, 'sequenceVersion': 1}",PHR_THET8
PLSX_THET2,Q72HV0,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-03-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 91, 'sequenceVersion': 1}",PLSX_THET2
PRMA_THET8,Q84BQ9,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2003-11-28', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 119, 'sequenceVersion': 2}",PRMA_THET8
PROA_THET8,Q5SH02,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-08-30', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 106, 'sequenceVersion': 1}",PROA_THET8
PROB_THET2,Q60050,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-05-24', 'entryVersion': 118, 'sequenceVersion': 2}",PROB_THET2
PSTB_THET8,Q5SLN1,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2007-01-23', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 120, 'sequenceVersion': 1}",PSTB_THET8
PTH_THET8,Q5SHZ2,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-06-21', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 94, 'sequenceVersion': 1}",PTH_THET8
PURL_THET8,Q5SMH8,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 111, 'sequenceVersion': 1}",PURL_THET8
PURQ_THET8,Q5SI57,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-08-30', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 107, 'sequenceVersion': 1}",PURQ_THET8
PYRB_THET8,Q5SK66,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-04-12', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 96, 'sequenceVersion': 1}",PYRB_THET8
PYRD_THET2,Q72KU3,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-08-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 102, 'sequenceVersion': 1}",PYRD_THET2
PYRE_THETH,P61499,1,Inferred from homology,Thermus thermophilus,"{'firstPublicDate': '2004-05-24', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-05-24', 'entryVersion': 66, 'sequenceVersion': 1}",PYRE_THETH
PYRF_THET2,P96076,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-05-24', 'entryVersion': 114, 'sequenceVersion': 2}",PYRF_THET2
PYRG_THET8,Q5SIA8,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 108, 'sequenceVersion': 1}",PYRG_THET8
PYRH_THET8,P43891,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1995-11-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 116, 'sequenceVersion': 2}",PYRH_THET8
QUEA_THET8,Q5SMH0,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-04-04', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 93, 'sequenceVersion': 1}",QUEA_THET8
RECA_THETH,P61501,1,Inferred from homology,Thermus thermophilus,"{'firstPublicDate': '2004-05-24', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 72, 'sequenceVersion': 2}",RECA_THETH
RECR_THET8,Q5SHY0,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-08-16', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 94, 'sequenceVersion': 1}",RECR_THET8
RECX_THET8,Q9AJ99,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2003-01-17', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2001-06-01', 'entryVersion': 82, 'sequenceVersion': 1}",RECX_THET8
RF1_THET8,P96077,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1997-05-01', 'entryVersion': 126, 'sequenceVersion': 1}",RF1_THET8
RIMM_THET8,Q5SJH5,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 98, 'sequenceVersion': 1}",RIMM_THET8
RISB_THET2,P61728,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2004-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-06-07', 'entryVersion': 91, 'sequenceVersion': 1}",RISB_THET2
