uniProtID,accession,label,existence,species,history
SYR_THET8,Q5SM45,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 100, 'sequenceVersion': 1}"
SYS_THET8,Q5SJX7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 100, 'sequenceVersion': 1}"
SYT_THET8,P56881,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2000-05-30', 'entryVersion': 132, 'sequenceVersion': 1}"
SYV_THETH,P96142,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2001-06-01', 'entryVersion': 132, 'sequenceVersion': 2}"
SYY_THET2,P83453,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2002-11-15', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2002-11-15', 'entryVersion': 121, 'sequenceVersion': 1}"
TRMI_THET2,Q8GBB2,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-04-13', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-05-24', 'entryVersion': 106, 'sequenceVersion': 2}"
TRPB_THET2,P16609,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1990-08-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1990-08-01', 'entryVersion': 141, 'sequenceVersion': 1}"
TRPD_THETH,P83827,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-04-13', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-03-29', 'entryVersion': 86, 'sequenceVersion': 1}"
TRUA_THET8,Q5SHU9,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-04-26', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 104, 'sequenceVersion': 1}"
UPP_THET2,Q72J35,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 106, 'sequenceVersion': 1}"
UVRB_THET8,Q56243,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 144, 'sequenceVersion': 2}"
VATA_THET8,Q56403,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2001-01-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2003-06-20', 'entryVersion': 149, 'sequenceVersion': 2}"
VATB_THET8,Q56404,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2001-01-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2003-06-20', 'entryVersion': 149, 'sequenceVersion': 2}"
VATC_THET8,P74902,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2001-01-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-02-01', 'entryVersion': 135, 'sequenceVersion': 1}"
VATD_THET8,O87880,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2001-01-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2001-01-24', 'entryVersion': 126, 'sequenceVersion': 2}"
VATE_THET8,P74901,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2001-01-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 119, 'sequenceVersion': 2}"
VATF_THET8,P74903,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2001-01-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-02-01', 'entryVersion': 132, 'sequenceVersion': 1}"
XYLA_THET8,P26997,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1992-08-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1992-08-01', 'entryVersion': 116, 'sequenceVersion': 1}"
Y583_THET8,P68591,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-12-07', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 88, 'sequenceVersion': 2}"
PCKA_THET8,Q5SLL5,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-05-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 109, 'sequenceVersion': 1}"
PXPA_THET8,Q53WG6,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-09-13', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2005-05-24', 'entryVersion': 83, 'sequenceVersion': 1}"
LYSZ_SULAC,Q4JAQ2,1,Evidence at protein level,Sulfolobus acidocaldarius,"{'firstPublicDate': '2005-09-27', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-08-02', 'entryVersion': 97, 'sequenceVersion': 1}"
LYSY_SULAC,Q4JAQ3,1,Evidence at protein level,Sulfolobus acidocaldarius,"{'firstPublicDate': '2005-09-27', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-08-02', 'entryVersion': 110, 'sequenceVersion': 1}"
DN7D_SULAC,P13123,1,Evidence at protein level,Sulfolobus acidocaldarius,"{'firstPublicDate': '1990-01-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 140, 'sequenceVersion': 3}"
FTSY_SULAC,P27414,1,Evidence at protein level,Sulfolobus acidocaldarius,"{'firstPublicDate': '1992-08-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1992-08-01', 'entryVersion': 124, 'sequenceVersion': 1}"
AAT_SACS2,P14909,1,Evidence at protein level,Saccharolobus solfataricus,"{'firstPublicDate': '1990-04-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 146, 'sequenceVersion': 2}"
ADH_SACS2,P39462,1,Evidence at protein level,Saccharolobus solfataricus,"{'firstPublicDate': '1995-02-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1995-02-01', 'entryVersion': 152, 'sequenceVersion': 1}"
AGLU_SACS2,P0CD66,1,Evidence at protein level,Saccharolobus solfataricus,"{'firstPublicDate': '2010-02-09', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2010-02-09', 'entryVersion': 68, 'sequenceVersion': 1}"
ALBA1_SACS2,P60849,1,Evidence at protein level,Saccharolobus solfataricus,"{'firstPublicDate': '2004-04-13', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 113, 'sequenceVersion': 2}"
ALBA2_SACS2,Q97ZF4,1,Evidence at protein level,Saccharolobus solfataricus,"{'firstPublicDate': '2003-09-09', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2001-10-01', 'entryVersion': 105, 'sequenceVersion': 1}"
